,Event Name,SDK version,player_id,Platform,Current Game
292,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
293,GetStarted_Carousel_moves,13,0.0,Android,superstore
294,LoginScreen_LoginOTP_Btn_Clk,12,0.0,Android,playhouse
295,GetStarted_reached,13,0.0,Android,superstore
296,LoginScreen_LoginOTP_screen_reached,12,0.0,Android,playhouse
297,SplashLocalAnimationVideo_reached,16.4.1,0.0,iPadOS,bath
298,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
299,EnterEmail_CarouselScrolled,12,0.0,Android,playhouse
300,Interests_continueClk,16.1.1,0.0,iOS,bath
301,PickSubject_continue,16.1.1,0.0,iOS,bath
302,EnterEmail_reached,16.1.1,0.0,iOS,bath
303,HomeScreen_playBtnClk,16.4.1,1831163.0,iPadOS,bath
304,GamePlay_WashBtnClk,16.3.1,3178843.0,iOS,bath
305,GamePlay_PlayBtnClk,16.4.1,1831163.0,iPadOS,bath
306,Interests_backClk,12,0.0,Android,superstore
307,AgeScreen_Reached,12,0.0,Android,superstore
308,OnBoardingErrorPopUp,13,0.0,Android,superstore
309,LoginScreen_LoginOTP_Btn_Clk,9,0.0,Android,playhouse
310,LoginScreen_LoginOTP_screen_reached,9,0.0,Android,playhouse
311,InGameScreen_Reached,16.4.1,1831163.0,iPadOS,bath
312,Interests_scroll,13,0.0,Android,playhouse
313,first_app_open,11,0.0,Android,playhouse
314,SplashLocalAnimationVideo_reached,11,0.0,Android,playhouse
315,PickSubject_continue,13,0.0,Android,superstore
316,EnterEmail_reached,13,0.0,Android,superstore
317,GetStarted_btnClk,13,0.0,Android,superstore
318,PreschoolLetterTracingScreen_Back_Btn_Clk,16.5.1,3148275.0,iOS,bath
319,AgeScreen_Reached,13,0.0,Android,superstore
320,GetStarted_Carousel_moves,10,0.0,Android,superstore
321,SubmitAnswer,,1838256.0,,doctor
322,GetStarted_Carousel_moves,12,0.0,Android,playhouse
323,LoginOTP_NoEmail_ErrorPopup_Reached,9,0.0,Android,playhouse
324,HomeScrActivityClk,16.5.1,3183848.0,iOS,kidshospital
325,OnBoardingErrorPopUp,13,0.0,Android,superstore
326,QuestionScreen_attempt,16.2,1838256.0,iPadOS,doctor
327,AgeScreen_back_btn_clk,12,0.0,Android,superstore
328,Interests_continueClk,10,0.0,Android,playhouse
329,GetStarted_reached,12,0.0,Android,superstore
330,GetStarted_Carousel_moves,12,0.0,Android,superstore
331,PickSubject_continue,10,0.0,Android,playhouse
332,EnterEmail_reached,10,0.0,Android,playhouse
333,AgeScreen_Sel_btn_clk,13,0.0,Android,superstore
334,AgeScreen_Continue_btn_clk,13,0.0,Android,superstore
335,Interests_reached,13,0.0,Android,superstore
336,QuestionScreen_Reached,16.2,1838256.0,iPadOS,doctor
337,Preschool_letter_clicked,16.1.1,3039523.0,iOS,bath
338,AgeScreen_AgeSelected_cont_btn_clk,12,0.0,Android,playhouse
339,GamePlay_WashingSceneReached,16.3.1,3178843.0,iOS,bath
340,GamePlay_IronExitBtnClk,16.5.1,3179440.0,iPadOS,bath
341,GamePlay_WashingSceneReached,16.3.1,3178843.0,iOS,bath
342,GetStarted_btnClk,10,0.0,Android,playhouse
343,AgeScreen_Reached,10,0.0,Android,playhouse
344,Interests_continueClk,13,0.0,Android,playhouse
345,PickSubject_continue,13,0.0,Android,playhouse
346,EnterEmail_reached,13,0.0,Android,playhouse
347,OnBoardingErrorPopUp,16.1.1,0.0,iOS,bath
348,Interests_continueClk,13,0.0,Android,superstore
349,GamePlay_DogSelectBtnClk,16.4.1,1831163.0,iPadOS,bath
350,OnBoardingErrorPopUp,13,0.0,Android,superstore
351,GetStarted_Carousel_moves,16.0.2,0.0,iOS,doctor
352,GetStarted_reached,16.0.2,0.0,iOS,doctor
353,AgeScreen_Login_btn_clk,12,0.0,Android,playhouse
354,LoginOTP_email_continue_btn_clk,13,0.0,Android,superstore
355,GetStarted_Carousel_moves,10,0.0,Android,superstore
356,LoginScreen_reached,12,0.0,Android,playhouse
357,GetStarted_reached,10,0.0,Android,superstore
358,EnterEmail_backClk,10,0.0,Android,playhouse
359,Interests_reached,10,0.0,Android,playhouse
360,OnBoardingErrorPopUp,13,0.0,Android,superstore
361,GetStarted_Carousel_moves,9,0.0,Android,playhouse
362,LoginOTP_email_invalid_PopUp,9,0.0,Android,playhouse
363,Interests_continueClk,11,0.0,Android,wonderworld
364,LoginOTP_email_notfound_PopUp,13,0.0,Android,superstore
365,LoginOTP_email_notfound_PopUp_Ok_clk,13,0.0,Android,superstore
366,PickSubject_continue,11,0.0,Android,wonderworld
367,EnterEmail_reached,11,0.0,Android,wonderworld
368,LoginOTP_email_invalid_PopUp_Ok_clk,9,0.0,Android,playhouse
369,SplashLocalAnimationVideo_reached,16.1.1,0.0,iOS,bakery
370,AgeScreen_Sel_btn_clk,10,0.0,Android,playhouse
371,AgeScreen_Continue_btn_clk,10,0.0,Android,playhouse
372,Interests_reached,10,0.0,Android,playhouse
373,PickSubject_continue,13,0.0,Android,superstore
374,SplashLocalAnimationVideo_reached,16.5.1,0.0,iPadOS,wonderworld
375,EnterEmail_reached,13,0.0,Android,superstore
376,GetStarted_btnClk,12,0.0,Android,superstore
377,AgeScreen_Reached,12,0.0,Android,superstore
378,PreschoolLearnScreen_CharTrace_Strt,16.1.1,3039523.0,iOS,bath
379,EarDropScrReached,16.5.1,2976338.0,iOS,doctor
380,GetStarted_Carousel_moves,9,0.0,Android,playhouse
381,GetStarted_Carousel_moves,9,0.0,Android,playhouse
382,LoginScreen_continueBtnClk,12,0.0,Android,playhouse
383,OnBoardingErrorPopUp,13,0.0,Android,playhouse
384,SplashLocalAnimationVideo_reached,15.5,0.0,iOS,bath
385,LoginScreen_loginFailure,12,0.0,Android,playhouse
386,Interests_continueClk,10,0.0,Android,playhouse
387,LoginScreen_loginFailureInformationOk,12,0.0,Android,playhouse
388,GamePlay_BathroomExitBtnClk,16.5.1,2606952.0,iPadOS,bath
389,Preschool_letter_clicked,16.5.1,3148275.0,iOS,bath
390,OnBoardingErrorPopUp,13,0.0,Android,superstore
391,GetStarted_Carousel_moves,10,0.0,Android,superstore
392,AgeScreen_Sel_btn_clk,12,0.0,Android,superstore
393,AgeScreen_Continue_btn_clk,12,0.0,Android,superstore
394,Interests_reached,12,0.0,Android,superstore
395,GetStarted_btnClk,10,0.0,Android,superstore
396,AgeScreen_Reached,10,0.0,Android,superstore
397,PickSubject_continue,10,0.0,Android,playhouse
398,EnterEmail_reached,10,0.0,Android,playhouse
399,EnterEmail_Login_btn_clk,13,0.0,Android,superstore
400,LoginScreen_reached,13,0.0,Android,superstore
401,SplashLocalAnimationVideo_reached,16.3.1,0.0,iPadOS,bath
402,PreschoolLearnScreen_CharTrace_Strt,16.5.1,3148275.0,iOS,bath
403,EnterEmail_backClk,16.1.1,0.0,iOS,bath
404,Interests_reached,16.1.1,0.0,iOS,bath
405,AgeScreen_Sel_btn_clk,10,0.0,Android,superstore
406,AgeScreen_Continue_btn_clk,10,0.0,Android,superstore
407,OnBoardingErrorPopUp,10,0.0,Android,playhouse
408,Interests_reached,10,0.0,Android,superstore
409,QuestionScreen_Hint,16.2,1838256.0,iPadOS,doctor
410,QuestionScreen_WrongAnswer_Sel,16.2,1838256.0,iPadOS,doctor
411,Interests_backClk,16.1.1,0.0,iOS,bath
412,AgeScreen_Reached,16.1.1,0.0,iOS,bath
413,GameRecommendationV2,,2751407.0,,bath
414,GameRecommendationHomeScreen,,2751407.0,,bath
415,GameRecommendationHomeScreen,,1663525.0,,bath
416,GetAGrownUpScreen_reached,16.5.1,2554397.0,iOS,bath
417,GrownUpSoundPlay,16.5.1,2554397.0,iOS,bath
418,Preschool_lettertracing_end,16.1.1,3039523.0,iOS,bath
419,GetStarted_Carousel_moves,16.0.2,0.0,iOS,doctor
420,OnBoardingErrorPopUp,13,0.0,Android,superstore
421,AgeScreen_back_btn_clk,16.1.1,0.0,iOS,bath
422,GetStarted_reached,16.1.1,0.0,iOS,bath
423,GetStarted_Carousel_moves,16.1.1,0.0,iOS,bath
424,GamePlay_ToothBrushBtnClk,16.5.1,2606952.0,iPadOS,bath
425,GameOpened,15.4,2751407.0,iPadOS,bath
426,HomeScreen_Reached,15.4,2751407.0,iPadOS,bath
427,Preschool_rewardscreen,16.1.1,3039523.0,iOS,bath
428,GameRecommendationV2,,1663525.0,,bath
429,first_app_open,10,0.0,Android,superstore
430,SplashLocalAnimationVideo_reached,10,0.0,Android,superstore
431,first_app_open,11,0.0,Android,playhouse
432,homescreen_tutorial_next_btnclck,15.4,2751407.0,iPadOS,bath
433,SplashLocalAnimationVideo_reached,11,0.0,Android,playhouse
434,GamePlay_ShowerBtnClk,16.4.1,1831163.0,iPadOS,bath
435,SplashLocalAnimationVideo_reached,15.7.7,0.0,iPadOS,doctor
436,PreschoolTracingscreen_Rew_Letter,16.1.1,3039523.0,iOS,bath
437,first_app_open,12,0.0,Android,playhouse
438,SplashLocalAnimationVideo_reached,12,0.0,Android,playhouse
